question_id,article,expected_doc_id,retrieved_docs,mrr,recall,top_k,number_of_paragraphs
5733be284776f41900661182,University_of_Notre_Dame,doc_0,"['doc_0', 'doc_28', 'doc_38', 'doc_41', 'doc_25']",1.0,1,5,55
5733be284776f4190066117f,University_of_Notre_Dame,doc_0,"['doc_7', 'doc_0', 'doc_30', 'doc_38', 'doc_40']",0.5,1,5,55
5733be284776f41900661180,University_of_Notre_Dame,doc_0,"['doc_28', 'doc_0', 'doc_38', 'doc_30', 'doc_7']",0.5,1,5,55
5733be284776f41900661181,University_of_Notre_Dame,doc_0,"['doc_0', 'doc_28', 'doc_38', 'doc_17', 'doc_31']",1.0,1,5,55
5733be284776f4190066117e,University_of_Notre_Dame,doc_0,"['doc_7', 'doc_30', 'doc_0', 'doc_38', 'doc_40']",0.3333333333333333,1,5,55
5733bf84d058e614000b61be,University_of_Notre_Dame,doc_1,"['doc_1', 'doc_19', 'doc_26', 'doc_25', 'doc_13']",1.0,1,5,55
5733bf84d058e614000b61bf,University_of_Notre_Dame,doc_1,"['doc_1', 'doc_15', 'doc_46', 'doc_19', 'doc_27']",1.0,1,5,55
5733bf84d058e614000b61c0,University_of_Notre_Dame,doc_1,"['doc_1', 'doc_15', 'doc_40', 'doc_46', 'doc_38']",1.0,1,5,55
5733bf84d058e614000b61bd,University_of_Notre_Dame,doc_1,"['doc_1', 'doc_15', 'doc_40', 'doc_8', 'doc_9']",1.0,1,5,55
5733bf84d058e614000b61c1,University_of_Notre_Dame,doc_1,"['doc_1', 'doc_19', 'doc_25', 'doc_26', 'doc_23']",1.0,1,5,55
5733bed24776f41900661188,University_of_Notre_Dame,doc_2,"['doc_2', 'doc_41', 'doc_17', 'doc_28', 'doc_0']",1.0,1,5,55
5733bed24776f41900661189,University_of_Notre_Dame,doc_2,"['doc_2', 'doc_41', 'doc_28', 'doc_17', 'doc_0']",1.0,1,5,55
5733bed24776f4190066118a,University_of_Notre_Dame,doc_2,"['doc_30', 'doc_48', 'doc_28', 'doc_40', 'doc_7']",0.0,0,5,55
5733bed24776f4190066118b,University_of_Notre_Dame,doc_2,"['doc_16', 'doc_30', 'doc_2', 'doc_17', 'doc_40']",0.3333333333333333,1,5,55
5733bed24776f4190066118c,University_of_Notre_Dame,doc_2,"['doc_37', 'doc_2', 'doc_0', 'doc_28', 'doc_13']",0.5,1,5,55
5733a6424776f41900660f51,University_of_Notre_Dame,doc_3,"['doc_40', 'doc_3', 'doc_8', 'doc_4', 'doc_19']",0.5,1,5,55
5733a6424776f41900660f4e,University_of_Notre_Dame,doc_3,"['doc_19', 'doc_25', 'doc_3', 'doc_8', 'doc_30']",0.3333333333333333,1,5,55
5733a6424776f41900660f4f,University_of_Notre_Dame,doc_3,"['doc_19', 'doc_25', 'doc_40', 'doc_4', 'doc_14']",0.0,0,5,55
5733a6424776f41900660f50,University_of_Notre_Dame,doc_3,"['doc_3', 'doc_30', 'doc_36', 'doc_29', 'doc_40']",1.0,1,5,55
5733a6424776f41900660f52,University_of_Notre_Dame,doc_3,"['doc_3', 'doc_25', 'doc_8', 'doc_35', 'doc_19']",1.0,1,5,55
5733a70c4776f41900660f64,University_of_Notre_Dame,doc_4,"['doc_4', 'doc_16', 'doc_30', 'doc_17', 'doc_40']",1.0,1,5,55
5733a70c4776f41900660f62,University_of_Notre_Dame,doc_4,"['doc_40', 'doc_8', 'doc_15', 'doc_4', 'doc_9']",0.25,1,5,55
5733a70c4776f41900660f63,University_of_Notre_Dame,doc_4,"['doc_4', 'doc_25', 'doc_8', 'doc_30', 'doc_19']",1.0,1,5,55
5733a70c4776f41900660f65,University_of_Notre_Dame,doc_4,"['doc_4', 'doc_19', 'doc_25', 'doc_8', 'doc_9']",1.0,1,5,55
5733a7bd4776f41900660f6b,University_of_Notre_Dame,doc_5,"['doc_19', 'doc_25', 'doc_8', 'doc_40', 'doc_9']",0.0,0,5,55
5733a7bd4776f41900660f6c,University_of_Notre_Dame,doc_5,"['doc_5', 'doc_2', 'doc_17', 'doc_7', 'doc_25']",1.0,1,5,55
5733a7bd4776f41900660f6e,University_of_Notre_Dame,doc_5,"['doc_5', 'doc_40', 'doc_25', 'doc_31', 'doc_14']",1.0,1,5,55
5733a7bd4776f41900660f6a,University_of_Notre_Dame,doc_5,"['doc_25', 'doc_19', 'doc_5', 'doc_40', 'doc_35']",0.3333333333333333,1,5,55
5733a7bd4776f41900660f6d,University_of_Notre_Dame,doc_5,"['doc_40', 'doc_14', 'doc_5', 'doc_31', 'doc_9']",0.3333333333333333,1,5,55
5733ac31d058e614000b5ff3,University_of_Notre_Dame,doc_6,"['doc_6', 'doc_14', 'doc_31', 'doc_21', 'doc_40']",1.0,1,5,55
5733ac31d058e614000b5ff6,University_of_Notre_Dame,doc_6,"['doc_24', 'doc_22', 'doc_23', 'doc_7', 'doc_30']",0.0,0,5,55
5733ac31d058e614000b5ff4,University_of_Notre_Dame,doc_6,"['doc_6', 'doc_14', 'doc_23', 'doc_31', 'doc_13']",1.0,1,5,55
5733ac31d058e614000b5ff5,University_of_Notre_Dame,doc_6,"['doc_6', 'doc_23', 'doc_25', 'doc_24', 'doc_37']",1.0,1,5,55
5733ac31d058e614000b5ff7,University_of_Notre_Dame,doc_6,"['doc_6', 'doc_23', 'doc_20', 'doc_24', 'doc_12']",1.0,1,5,55
5733ad384776f41900660fec,University_of_Notre_Dame,doc_7,"['doc_7', 'doc_30', 'doc_40', 'doc_36', 'doc_29']",1.0,1,5,55
5733ad384776f41900660fed,University_of_Notre_Dame,doc_7,"['doc_7', 'doc_30', 'doc_40', 'doc_38', 'doc_36']",1.0,1,5,55
5733ad384776f41900660fee,University_of_Notre_Dame,doc_7,"['doc_7', 'doc_30', 'doc_36', 'doc_23', 'doc_24']",1.0,1,5,55
5733ad384776f41900660fef,University_of_Notre_Dame,doc_7,"['doc_7', 'doc_24', 'doc_30', 'doc_36', 'doc_44']",1.0,1,5,55
5733ad384776f41900660ff0,University_of_Notre_Dame,doc_7,"['doc_7', 'doc_38', 'doc_30', 'doc_40', 'doc_17']",1.0,1,5,55
5733ae924776f41900661014,University_of_Notre_Dame,doc_8,"['doc_8', 'doc_15', 'doc_9', 'doc_40', 'doc_26']",1.0,1,5,55
5733ae924776f41900661013,University_of_Notre_Dame,doc_8,"['doc_8', 'doc_15', 'doc_9', 'doc_40', 'doc_26']",1.0,1,5,55
5733ae924776f41900661015,University_of_Notre_Dame,doc_8,"['doc_9', 'doc_40', 'doc_14', 'doc_8', 'doc_15']",0.25,1,5,55
5733ae924776f41900661016,University_of_Notre_Dame,doc_8,"['doc_8', 'doc_15', 'doc_26', 'doc_40', 'doc_4']",1.0,1,5,55
5733ae924776f41900661017,University_of_Notre_Dame,doc_8,"['doc_8', 'doc_15', 'doc_40', 'doc_16', 'doc_30']",1.0,1,5,55
5733afd3d058e614000b6045,University_of_Notre_Dame,doc_9,"['doc_9', 'doc_8', 'doc_40', 'doc_15', 'doc_14']",1.0,1,5,55
5733afd3d058e614000b6047,University_of_Notre_Dame,doc_9,"['doc_9', 'doc_14', 'doc_40', 'doc_8', 'doc_15']",1.0,1,5,55
5733afd3d058e614000b6048,University_of_Notre_Dame,doc_9,"['doc_9', 'doc_15', 'doc_40', 'doc_26', 'doc_30']",1.0,1,5,55
5733afd3d058e614000b6046,University_of_Notre_Dame,doc_9,"['doc_9', 'doc_40', 'doc_15', 'doc_8', 'doc_26']",1.0,1,5,55
5733afd3d058e614000b6049,University_of_Notre_Dame,doc_9,"['doc_8', 'doc_15', 'doc_40', 'doc_9', 'doc_4']",0.25,1,5,55
5733b0fb4776f41900661041,University_of_Notre_Dame,doc_10,"['doc_10', 'doc_23', 'doc_29', 'doc_37', 'doc_19']",1.0,1,5,55
5733b0fb4776f41900661043,University_of_Notre_Dame,doc_10,"['doc_10', 'doc_11', 'doc_23', 'doc_24', 'doc_37']",1.0,1,5,55
5733b0fb4776f41900661044,University_of_Notre_Dame,doc_10,"['doc_23', 'doc_25', 'doc_10', 'doc_27', 'doc_37']",0.3333333333333333,1,5,55
5733b0fb4776f41900661045,University_of_Notre_Dame,doc_10,"['doc_10', 'doc_11', 'doc_18', 'doc_13', 'doc_42']",1.0,1,5,55
5733b0fb4776f41900661042,University_of_Notre_Dame,doc_10,"['doc_10', 'doc_27', 'doc_23', 'doc_22', 'doc_14']",1.0,1,5,55
5733b1da4776f41900661068,University_of_Notre_Dame,doc_11,"['doc_11', 'doc_10', 'doc_23', 'doc_37', 'doc_25']",1.0,1,5,55
5733b1da4776f41900661069,University_of_Notre_Dame,doc_11,"['doc_11', 'doc_10', 'doc_42', 'doc_18', 'doc_34']",1.0,1,5,55
5733b1da4776f4190066106a,University_of_Notre_Dame,doc_11,"['doc_11', 'doc_10', 'doc_43', 'doc_42', 'doc_41']",1.0,1,5,55
5733b1da4776f4190066106b,University_of_Notre_Dame,doc_11,"['doc_23', 'doc_27', 'doc_31', 'doc_25', 'doc_19']",0.0,0,5,55
5733b1da4776f41900661067,University_of_Notre_Dame,doc_11,"['doc_30', 'doc_25', 'doc_23', 'doc_29', 'doc_7']",0.0,0,5,55
5733b2fe4776f4190066108f,University_of_Notre_Dame,doc_12,"['doc_12', 'doc_14', 'doc_31', 'doc_6', 'doc_40']",1.0,1,5,55
5733b2fe4776f41900661091,University_of_Notre_Dame,doc_12,"['doc_19', 'doc_23', 'doc_12', 'doc_26', 'doc_25']",0.3333333333333333,1,5,55
